getDomain,UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,Hppts,DomainRegLen,Favicon,NonStdPort,HTTPSDomainURL,RequestURL,AnchorURL,LinksInScriptTags,ServerFormHandler,InfoEmail,AbnormalURL,WebsiteForwarding,StatusBarCust,getDepth,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,GoogleIndex,LinksPointingToPage,StatsReport,labels
google.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,0,0,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
blogger.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,1,-2,-1,-1,-1,0,-1,-1,1,1,1,1,-1,1,0
youtube.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,0,-1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,1,1,0
linkedin.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,1,-1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
support.google.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
cloudflare.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,-1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
microsoft.com,1,1,-1,1,1,1,1,-1,1,-1,1,1,0,1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,0,1,0
apple.com,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,-1,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
en.wikipedia.org,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
play.google.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,-1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
wordpress.org,1,1,1,1,1,1,1,-1,1,1,1,1,-2,1,-1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
docs.google.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,0,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
mozilla.org,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,-1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
maps.google.com,1,1,1,1,1,1,0,-1,1,1,1,1,0,-1,1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,1,1,0
youtu.be,1,1,1,1,1,1,1,-1,-2,1,1,1,-2,-1,1,1,-2,-1,0,-1,0,-1,-1,1,-2,-2,1,1,1,0
drive.google.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,0,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
bp.blogspot.com,1,1,-1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,0
sites.google.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,0,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
googleusercontent.com,1,1,-1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,0,1,0
accounts.google.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,0,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
t.me,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,-1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
europa.eu,1,1,1,1,1,1,1,-1,-2,1,1,1,-2,1,-1,1,-2,-1,0,-1,0,-1,-1,1,-2,-2,1,0,1,0
plus.google.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,-1,1,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
whatsapp.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,1,-1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
facebook.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,0,1,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
policies.google.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
uol.com.br,1,1,1,1,1,1,0,-1,1,1,1,1,-2,1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
istockphoto.com,1,1,1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,1,1,0
vimeo.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
vk.com,1,1,1,1,1,1,1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,-2,1,0
github.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,1,-1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
amazon.com,1,1,1,1,1,1,1,-1,1,-1,1,1,-2,-1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
search.google.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,-1,0,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
bbc.co.uk,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
google.de,1,1,1,1,1,1,1,-1,-2,-1,1,1,-2,0,0,0,-2,-1,1,-1,0,-1,-1,1,-2,-2,1,-1,1,0
live.com,1,1,1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,0,1,0
gravatar.com,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,-1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
nih.gov,1,1,1,1,1,1,1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,-2,1,0
dan.com,1,1,1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,1,1,0
files.wordpress.com,1,1,1,1,1,1,0,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,1,1,0
yahoo.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,1,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
cnn.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,0,1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
dropbox.com,1,1,-1,1,1,1,1,-1,1,1,1,1,-2,-1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,1,1,0
wikimedia.org,1,1,1,1,1,1,1,-1,1,1,1,1,-2,0,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
creativecommons.org,1,1,1,1,1,1,1,-1,1,1,1,1,-2,0,-1,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
google.com.br,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,0,0,0,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
line.me,1,1,1,1,1,1,1,-1,1,1,1,1,-2,0,-1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
googleblog.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
opera.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
es.wikipedia.org,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
globo.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
brandbucket.com,1,1,-1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,1,1,0
myspace.com,1,1,1,1,1,1,1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,-2,1,0
slideshare.net,1,1,1,1,1,1,1,-1,1,1,1,1,-2,1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,1,1,0
paypal.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,1,1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
tiktok.com,1,1,1,1,1,1,1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,-2,1,0
netvibes.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,-1,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
theguardian.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,-1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
who.int,1,1,1,1,1,1,1,-1,-2,1,1,1,-2,-1,0,1,-2,-1,1,-1,0,-1,-1,1,-2,-2,1,-1,1,0
goo.gl,1,1,-1,1,1,1,1,-1,-2,-1,1,1,-2,-1,1,0,-2,-1,0,-1,0,-1,-1,1,-2,-2,1,1,1,0
medium.com,1,1,1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,1,1,0
tools.google.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,1,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
draft.blogger.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,1,-2,-1,-1,-1,0,-1,-1,1,1,1,1,-1,1,0
pt.wikipedia.org,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,0,-2,-1,0,-1,0,-1,-1,1,1,1,1,-1,1,0
9779.info,1,-1,1,1,1,1,1,-1,1,-1,1,1,0,-1,-1,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,0,1,1
nutrika.co.id,1,1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
dorisday.net,1,1,1,1,1,1,0,-1,1,-1,1,1,0,-1,1,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
web.userinstinct.com,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,1,1,0
thats-a-wrap.net,1,1,1,1,1,-1,0,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
pagesperso-orange.fr,1,1,1,1,1,-1,1,-1,1,-1,1,1,0,-1,1,1,-2,-1,0,-1,1,-1,-1,1,1,1,1,0,1,1
asd.besthairtransplantpunjab.com,1,1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
limit.user-87876kop9776zj7tt5hsjql5z17-ggq97zk821876t9u0opm.resolution-klpozjshbv716zgyqbbsn.sharetolink.net,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
