getDomain,UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,Hppts,DomainRegLen,Favicon,NonStdPort,HTTPSDomainURL,RequestURL,AnchorURL,LinksInScriptTags,ServerFormHandler,InfoEmail,AbnormalURL,WebsiteForwarding,StatusBarCust,getDepth,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,GoogleIndex,LinksPointingToPage,StatsReport,labels
9779.info,1,-1,1,1,1,1,1,-1,1,-1,1,1,0,-1,-1,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,0,1,1
nutrika.co.id,1,1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
dorisday.net,1,1,1,1,1,1,0,-1,1,-1,1,1,0,-1,1,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
web.userinstinct.com,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,1,1,0
thats-a-wrap.net,1,1,1,1,1,-1,0,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
pagesperso-orange.fr,1,1,1,1,1,-1,1,-1,1,-1,1,1,0,-1,1,1,-2,-1,0,-1,1,-1,-1,1,1,1,1,0,1,1
asd.besthairtransplantpunjab.com,1,1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
limit.user-87876kop9776zj7tt5hsjql5z17-ggq97zk821876t9u0opm.resolution-klpozjshbv716zgyqbbsn.sharetolink.net,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
embroidery.embroidery.embroidery.ebp-items-offer-now.com,1,0,1,1,1,-1,-1,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
scribd.com,1,-1,1,1,1,1,1,-1,1,-1,1,1,-2,-1,1,1,-2,-1,0,-1,3,-1,-1,1,1,1,1,-1,1,0
